18.162.156.23:12355 | HK | N/A | 359ms
38.244.198.117:443 | HK | Hong Kong | 361ms
8.218.245.116:49701 | HK | Hong Kong | 362ms
45.38.42.109:8443 | HK | Hong Kong | 364ms
8.218.36.133:9010 | HK | Hong Kong | 367ms
8.210.96.197:12902 | HK | Hong Kong | 369ms
38.71.124.249:443 | HK | Tai Wan | 371ms
162.245.221.157:443 | HK | N/A | 374ms
210.6.207.42:18622 | HK | N/A | 374ms
152.32.215.105:8443 | HK | Hong Kong | 375ms
46.232.122.240:8000 | HK | N/A | 375ms
58.176.95.46:443 | HK | Mei Foo | 375ms
85.208.104.34:8080 | HK | Hong Kong | 376ms
141.11.78.77:8080 | HK | Hong Kong | 378ms
223.16.138.113:10002 | HK | N/A | 378ms
156.255.90.175:8443 | HK | Ha Kwai Chung | 379ms
154.16.10.34:8080 | HK | Hong Kong | 379ms
103.247.28.240:37211 | HK | N/A | 379ms
47.242.171.138:37021 | HK | Hong Kong | 382ms
47.240.15.210:4432 | HK | Hong Kong | 382ms
163.223.182.107:443 | HK | Kowloon City | 383ms
23.27.48.196:443 | HK | N/A | 383ms
47.243.166.181:443 | HK | Hong Kong | 384ms
141.11.77.248:8080 | HK | Hong Kong | 384ms
49.0.254.191:8443 | HK | Hong Kong | 384ms
36.50.90.241:47790 | HK | N/A | 385ms
47.239.8.172:443 | HK | Hong Kong | 386ms
38.207.133.204:10002 | HK | Hong Kong | 387ms
192.142.4.33:8443 | HK | Ha Kwai Chung | 388ms
192.131.142.161:46639 | HK | Hong Kong | 388ms
8.212.27.131:443 | HK | Hong Kong | 389ms
47.76.218.163:443 | HK | Hong Kong | 389ms
219.76.13.177:443 | HK | N/A | 389ms
47.57.13.107:443 | HK | Hong Kong | 390ms
8.218.245.116:41528 | HK | Hong Kong | 391ms
45.149.186.112:8080 | HK | Hong Kong | 391ms
45.38.42.198:2053 | HK | Hong Kong | 392ms
118.141.64.192:36619 | HK | Sha Tin Wai | 393ms
223.16.138.113:12457 | HK | N/A | 397ms
219.76.13.169:443 | HK | N/A | 398ms
36.50.90.241:35951 | HK | N/A | 398ms
45.207.223.167:443 | HK | Hong Kong | 399ms
47.242.145.136:8001 | HK | Hong Kong | 400ms
141.11.218.249:8080 | HK | Hong Kong | 400ms
46.3.109.228:443 | HK | N/A | 400ms
47.79.20.64:443 | HK | Hong Kong | 400ms
89.185.30.122:53346 | HK | Hong Kong | 400ms
141.11.91.67:8080 | HK | Hong Kong | 401ms
156.254.114.120:30011 | HK | Ha Kwai Chung | 401ms
141.11.148.60:8080 | HK | Hong Kong | 401ms
141.11.175.133:8080 | HK | Hong Kong | 402ms
83.147.3.165:8080 | HK | Hong Kong | 404ms
46.232.108.217:443 | HK | Hong Kong | 405ms
219.76.13.167:443 | HK | N/A | 406ms
156.255.90.175:2053 | HK | Ha Kwai Chung | 407ms
43.132.244.52:21415 | HK | Hong Kong | 410ms
45.39.198.40:8080 | HK | Hong Kong | 411ms
43.154.196.20:65121 | HK | Hong Kong | 411ms
154.16.10.177:443 | HK | Hong Kong | 411ms
192.142.4.76:2053 | HK | Ha Kwai Chung | 412ms
141.11.149.195:12082 | HK | Hong Kong | 412ms
8.218.245.116:42805 | HK | Hong Kong | 415ms
219.76.13.183:443 | HK | N/A | 417ms
124.244.92.109:25203 | HK | Kowloon City | 419ms
38.244.198.107:443 | HK | Hong Kong | 426ms
49.0.233.29:443 | HK | Hong Kong | 433ms
45.39.198.43:8080 | HK | Hong Kong | 439ms
191.101.132.54:8080 | HK | N/A | 441ms
46.8.78.122:8443 | HK | Hong Kong | 451ms
219.76.13.166:443 | HK | N/A | 495ms
43.154.124.136:26666 | HK | Hong Kong | 498ms
199.59.231.120:443 | HK | Hong Kong | 592ms
2.56.91.89:8443 | HK | Hong Kong | 617ms
47.57.181.17:443 | HK | Hong Kong | 665ms
2.56.91.89:2053 | HK | Hong Kong | 671ms
103.194.107.166:443 | HK | N/A | 719ms
103.85.73.112:8443 | HK | N/A | 755ms
47.82.92.52:443 | HK | Hong Kong | 794ms
62.192.175.43:12009 | HK | Hong Kong | 883ms
194.156.99.182:8443 | HK | Hong Kong | 913ms
154.21.201.83:443 | HK | Hong Kong | 950ms
43.155.117.16:443 | HK | Hong Kong | 1058ms
210.3.159.133:443 | HK | N/A | 1083ms
8.210.29.68:443 | HK | Hong Kong | 1116ms
149.104.120.254:443 | HK | N/A | 1121ms
43.198.204.35:443 | HK | Hong Kong | 1140ms
103.49.61.252:443 | HK | N/A | 1188ms
103.219.194.233:30005 | HK | Hong Kong | 1417ms
103.142.87.118:443 | HK | N/A | 1911ms
